instance_no,optim,square_no,result,time
0,112,21,130,5.58
1,110,22,137,1.40
2,110,22,141,1.20
3,139,22,171,1.59
4,147,22,184,3.32
5,147,22,166,18.01
6,154,22,195,4.52
7,172,22,205,5.48
8,192,22,233,74.99
9,110,23,124,0.85
10,139,23,172,3.01
11,140,23,159,18.48
12,140,23,163,3.71
13,145,23,180,5.32
14,180,23,222,8.46
15,188,23,234,8.55
16,208,23,247,23.49
17,215,23,255,29.75
18,228,23,255,19.77
19,257,23,-1,-1.00
20,332,23,-1,-1.00
21,120,24,142,1.10
22,186,24,231,15.87
23,194,24,234,19.95
24,195,24,219,6.23
25,196,24,279,20.21
26,201,24,254,22.41
27,201,24,256,23.40
28,203,24,286,21.69
29,247,24,310,39.18
30,253,24,-1,-1.00
31,255,24,350,85.39
32,288,24,-1,-1.00
33,288,24,360,93.27
34,290,24,371,72.01
35,292,24,-1,-1.00
36,304,24,-1,-1.00
37,304,24,384,50.56
38,314,24,-1,-1.00
39,316,24,-1,-1.00
40,326,24,-1,-1.00
41,423,24,-1,-1.00
42,435,24,-1,-1.00
43,435,24,-1,-1.00
44,459,24,-1,-1.00
45,459,24,-1,-1.00
46,479,24,-1,-1.00
47,147,25,189,11.66
48,208,25,259,7.77
49,213,25,246,91.75
50,215,25,248,25.68
51,216,25,276,26.37
52,236,25,284,49.86
53,242,25,300,43.95
54,244,25,311,24.15
55,252,25,-1,-1.00
56,253,25,317,37.38
57,260,25,-1,-1.00
58,264,25,334,87.11
59,264,25,342,26.70
60,264,25,332,53.02
61,265,25,333,52.65
62,273,25,-1,-1.00
63,273,25,342,57.69
64,275,25,-1,-1.00
65,276,25,324,65.45
66,280,25,320,78.55
67,280,25,-1,-1.00
68,284,25,-1,-1.00
69,286,25,361,35.75
70,289,25,368,95.78
71,289,25,-1,-1.00
72,290,25,-1,-1.00
73,293,25,-1,-1.00
74,297,25,-1,-1.00
75,308,25,-1,-1.00
76,308,25,-1,-1.00
77,309,25,-1,-1.00
78,311,25,-1,-1.00
79,314,25,-1,-1.00
80,316,25,-1,-1.00
81,317,25,-1,-1.00
82,320,25,-1,-1.00
83,320,25,-1,-1.00
84,320,25,394,53.59
85,320,25,400,62.24
86,322,25,-1,-1.00
87,322,25,-1,-1.00
88,323,25,-1,-1.00
89,323,25,-1,-1.00
90,323,25,-1,-1.00
91,325,25,-1,-1.00
92,326,25,-1,-1.00
93,327,25,-1,-1.00
94,328,25,406,67.75
95,334,25,-1,-1.00
96,336,25,414,72.70
97,338,25,-1,-1.00
98,338,25,-1,-1.00
99,340,25,-1,-1.00
