instance_no,optim,square_no,result,time
0,112,21,130,1.59
1,110,22,137,1.38
2,110,22,141,1.18
3,139,22,171,1.54
4,147,22,184,3.26
5,147,22,166,14.83
6,154,22,195,4.87
7,172,22,205,5.21
8,192,22,233,21.78
9,110,23,124,0.89
10,139,23,172,3.34
11,140,23,159,17.91
12,140,23,163,3.92
13,145,23,180,5.50
14,180,23,222,8.83
15,188,23,234,8.88
16,208,23,247,24.33
17,215,23,255,30.23
18,228,23,255,19.85
19,257,23,318,21.93
20,332,23,397,223.26
21,120,24,142,1.09
22,186,24,231,15.43
23,194,24,234,21.66
24,195,24,219,6.00
25,196,24,279,19.84
26,201,24,254,23.07
27,201,24,256,24.00
28,203,24,286,21.14
29,247,24,310,47.16
30,253,24,304,291.81
31,255,24,350,97.88
32,288,24,362,113.13
33,288,24,360,100.10
34,290,24,371,71.80
35,292,24,343,361.07
36,304,24,350,544.92
37,304,24,384,51.72
38,314,24,374,761.67
39,316,24,448,341.24
